name,address,phone,website,emails
Foodies Cafe,"C 133, Phase-8, Industrial Area, Phase 8, Sahibzada Ajit Singh Nagar, Punjab 160071",091151 61727,N/A,N/A
KD's Kitchen,"Plot D268 A, Phase, 8B, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307",098722 29643,N/A,N/A
Aunty Di Canteen,"F 303, 160071, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307",078377 20071,N/A,N/A
Namdharee foods,"2nd Floor, Plot-133, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160071",N/A,N/A,N/A
Crispy tiffin services,"Deep Nagar Colony, Sector 78, Sahibzada Ajit Singh Nagar, Punjab 140306",087935 22965,N/A,N/A
Food ict,"PP76+C87, 321, Mohali Bypass, Phase 5, Phase-8, Industrial Area, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160059",086858 19141,N/A,N/A
Maa Tiffin Service,"4346, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055",075359 00744,N/A,N/A
Ghar da chicken,"PM6R+5WM, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307",N/A,N/A,N/A
R S TIFFIN SERVICE MOHALI,"2856, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160062",078072 23414,N/A,N/A
FOOD ART ABC Company,"Plot No. # F-248, Industrial Focal Point, Phase 8B, Mohali, Chandigarh, 140307",N/A,N/A,N/A
Rolls xpress original(70 sec wale),"Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071",097798 28900,N/A,N/A
Clifoz Foods,"F7, industrial area, Phase-8, sector72, Sahibzada Ajit Singh Nagar, Punjab 160071",N/A,N/A,N/A
LunchEese - Fresh Menu Daily,"F381, near ASHA TOWER, Phase 8B, Industrial Area, Sector 91, Sahibzada Ajit Singh Nagar, Punjab 140307",088726 10006,N/A,N/A
FOOD&FRIENDS CAFE,"F- 247, Phase 8B, Industrial Area, 8b, Sahibzada Ajit Singh Nagar, Punjab 140307",N/A,N/A,N/A
Geet's Kitchen (tiffin service & bulk orders ),"Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055",093723 25051,N/A,N/A
Kaur's Kitchen,"C-167, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307",098151 50665,N/A,N/A
Sundown Chef,"424,, Industrial Area 8, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071",082838 88333,N/A,N/A
TiffinPeddler,"E-191, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140307",N/A,N/A,N/A
Hot Meals,"S.C.O 37, Opposite E.S.I Hospital, Cellulosics Road, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055",N/A,N/A,N/A
Mezbaan By Hawks Hospitality Pvt. Ltd. (Mohali),"E11, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055",090563 88788,N/A,N/A
